RELI;GMDE;HIST_GMDE;E_KOORD;N_KOORD;B22BTOT;B22B11;B22B12;B22B13;B22B14;B22B15;B22B16;B22B21;B22B22;B22B23;B22B24;B22B25;B22B26;B22B27;B22B28;B22B29;B22B30;B22BMTOT;B22BM01;B22BM02;B22BM03;B22BM04;B22BM05;B22BM06;B22BM07;B22BM08;B22BM09;B22BM10;B22BM11;B22BM12;B22BM13;B22BM14;B22BM15;B22BM16;B22BM17;B22BM18;B22BM19;B22BWTOT;B22BW01;B22BW02;B22BW03;B22BW04;B22BW05;B22BW06;B22BW07;B22BW08;B22BW09;B22BW10;B22BW11;B22BW12;B22BW13;B22BW14;B22BW15;B22BW16;B22BW17;B22BW18;B22BW19;B22B41;B22B42;B22B43;B22B44;B22B45;B22B46;B22B51;B22B52;B22B53;B22B54;B22B55;B22B56;H22PTOT;H22P01;H22P02;H22P03;H22P04;H22P05;H22P06;H22PI
69962404;115;12023;2699600;1240400;43;35;8;7;3;0;0;29;3;18;10;0;14;9;3;3;0;23;0;0;3;0;4;3;3;3;3;3;3;3;0;3;3;0;0;3;3;20;0;0;3;0;0;0;3;0;0;3;0;3;0;0;3;3;3;3;8;0;8;6;29;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0
69981158;5396;15627;2699800;1115800;30;28;3;3;0;0;0;23;3;11;9;0;7;4;3;3;0;13;0;0;0;0;0;0;0;3;0;0;0;3;3;3;3;3;3;3;3;17;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;3;6;4;0;3;3;18;8;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0
69982204;1301;12152;2699800;1220400;35;30;5;3;3;3;0;29;9;3;19;0;6;3;3;4;0;20;3;0;0;3;0;0;0;3;3;3;3;5;3;0;3;3;3;0;3;15;0;3;0;0;0;3;0;0;3;3;0;3;0;3;3;3;0;3;3;3;5;3;16;9;3;35;0;0;0;0;0;3;3;3;0;3;0;0;1
70002543;180;10389;2700000;1254300;14;13;3;3;0;0;0;13;4;6;3;0;3;3;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;3;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;5;0;0;0;12;3;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0
70002680;216;11565;2700000;1268000;4;4;0;0;0;0;0;4;0;3;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;3;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
70002737;4601;15447;2700000;1273700;7;7;0;0;0;0;0;7;3;3;4;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;0;0;0;3;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;5;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
70022379;116;11970;2700200;1237900;21;21;0;0;0;0;0;19;0;13;6;0;3;3;0;0;0;6;0;0;0;0;0;0;0;0;0;3;0;0;3;0;3;0;3;3;0;15;0;0;0;0;0;0;0;3;3;3;0;3;0;0;0;4;0;3;5;0;3;3;14;4;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0
70042035;1367;12362;2700400;1203500;6;6;0;0;0;0;0;6;4;3;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;4;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;3;3;0;0;3;3;3;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
70052343;153;12143;2700500;1234300;48;44;4;3;3;0;0;42;3;25;16;0;6;4;3;3;0;20;0;0;0;3;0;0;0;3;3;3;3;3;4;3;3;3;3;0;3;28;0;0;3;0;3;0;0;3;3;0;3;3;0;3;3;3;3;7;3;0;6;4;33;5;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0
70071204;5324;14940;2700700;1120400;12;11;3;3;0;0;0;10;3;5;4;0;3;3;0;0;0;5;0;0;0;0;3;0;0;0;0;0;0;0;3;0;3;3;3;0;0;7;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;3;3;3;3;0;3;9;0;0;10;3;0;0;0;0;0;0;0;0;0;0;0;0
70082443;119;12951;2700800;1244300;8;8;0;0;0;0;0;7;0;6;3;0;3;3;0;0;0;7;3;0;0;0;0;0;3;0;0;0;0;3;3;0;0;0;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;4;3;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
70082570;231;10312;2700800;1257000;39;30;9;5;3;3;0;23;3;16;6;0;16;9;3;6;0;18;0;0;0;0;3;3;3;3;3;0;3;0;3;0;3;0;0;3;3;21;0;0;0;3;0;3;0;0;3;0;0;0;3;0;0;0;4;6;6;3;10;6;21;3;0;38;0;0;0;0;3;0;0;0;0;0;0;0;0
70102502;178;12831;2701000;1250200;22;21;3;0;0;3;0;20;0;14;6;0;3;3;0;3;0;12;0;0;0;0;3;0;3;3;0;0;0;3;0;0;3;3;3;3;3;10;0;0;0;0;0;0;3;0;0;3;0;0;3;0;0;0;0;3;5;0;3;0;16;5;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0
